id,age,Medu,Fedu,traveltime,studytime,failures,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
29,16,4,4,1,2,0,4,4,5,5,5,5,16,10,12,11
30,15,4,4,1,2,0,5,4,2,3,4,5,0,9,11,12
31,15,4,4,2,2,0,4,3,1,1,1,5,0,17,16,17
32,15,4,3,1,2,0,4,5,2,1,1,5,0,17,16,16
33,15,3,3,1,2,0,5,3,2,1,1,2,0,8,10,12
34,16,3,2,1,1,0,5,4,3,1,1,5,0,12,14,15
35,15,2,3,2,1,0,3,5,1,1,1,5,0,8,7,6
36,15,4,3,1,3,0,5,4,3,1,1,4,2,15,16,18
37,16,4,4,2,3,0,2,4,3,1,1,5,7,15,16,15
38,15,3,4,1,3,0,4,3,2,1,1,5,2,12,12,11
39,15,2,2,1,1,0,4,3,1,1,1,2,8,14,13,13
40,16,2,2,2,2,1,3,3,3,1,2,3,25,7,10,11
41,15,4,4,1,1,0,5,4,3,2,4,5,8,12,12,12
42,15,4,4,1,2,0,4,3,3,1,1,5,2,19,18,18
43,15,2,2,1,1,0,5,4,1,1,1,1,0,8,8,11
44,16,2,2,2,2,1,4,3,3,2,2,5,14,10,10,9
45,15,4,3,1,2,0,5,2,2,1,1,5,8,8,8,6
46,16,3,3,1,2,0,2,3,5,1,4,3,12,11,12,11
47,16,4,3,1,4,0,4,2,2,1,1,2,4,19,19,20
48,15,4,2,1,2,0,4,3,3,2,2,5,2,15,15,14
49,15,4,4,1,2,1,4,4,4,1,1,3,2,7,7,7
50,16,2,2,3,2,0,4,3,3,2,3,4,2,12,13,13
51,15,4,2,1,2,0,4,3,3,1,1,5,2,11,13,13
52,15,4,2,2,1,1,5,5,5,3,4,5,6,11,11,10
53,15,4,4,1,1,0,3,3,4,2,3,5,0,8,10,11
54,15,3,3,1,1,0,5,3,4,4,4,1,6,10,13,13
55,16,2,1,1,2,0,5,3,4,1,1,2,8,8,9,10
56,15,4,3,1,2,0,4,3,2,1,1,1,0,14,15,15
57,15,4,4,1,2,0,3,2,2,1,1,5,4,14,15,15
58,15,1,2,1,2,0,4,3,2,1,1,5,2,9,10,9
59,16,4,2,1,2,0,4,2,3,1,1,5,2,15,16,16
60,16,4,4,1,2,0,2,4,4,2,3,4,6,10,11,11
61,16,1,1,4,1,0,5,5,5,5,5,5,6,10,8,11
62,16,1,2,1,2,0,4,4,3,1,1,1,4,8,10,9
63,16,4,3,1,3,0,3,4,4,2,4,4,2,10,9,9
64,15,4,3,1,2,0,4,4,4,2,4,2,0,10,10,10
65,16,4,3,3,2,0,5,4,3,1,2,1,2,16,15,15
66,15,4,4,1,4,0,1,3,3,5,5,3,4,13,13,12
67,16,3,1,1,4,0,4,3,3,1,2,5,4,7,7,6
68,15,2,2,2,2,0,4,1,3,1,3,4,2,8,9,8
69,15,3,1,2,4,0,4,4,2,2,3,3,12,16,16,16
70,16,3,1,2,4,0,4,3,2,1,1,5,0,13,15,15
71,15,4,2,1,4,0,3,3,3,1,1,3,0,10,10,10
72,15,1,1,1,2,2,3,3,4,2,4,5,2,8,6,5
73,16,3,1,1,1,0,5,3,2,2,2,5,2,12,12,14
74,16,3,3,1,2,0,4,3,3,2,4,5,54,11,12,11
75,15,4,3,1,2,0,4,3,3,2,3,5,6,9,9,10
76,15,4,0,2,4,0,3,4,3,1,1,1,8,11,11,10
77,16,2,2,1,4,0,5,2,3,1,3,3,0,11,11,11
78,17,2,1,2,1,3,4,5,1,1,1,3,2,8,8,10
79,16,3,4,1,2,0,2,4,3,1,2,3,12,5,5,5
80,15,2,3,1,1,0,3,2,2,1,3,3,2,10,12,12
81,15,2,3,1,3,0,5,3,2,1,2,5,4,11,10,11
82,15,3,2,1,2,0,4,4,4,1,1,5,10,7,6,6
83,15,2,2,2,2,0,5,3,3,1,3,4,4,15,15,15
84,15,1,1,1,2,0,4,3,2,2,3,4,2,9,10,10
85,15,4,4,2,2,2,4,4,4,2,3,5,6,7,9,8
86,16,2,2,1,2,0,4,3,4,1,2,2,4,8,7,6
87,15,4,2,1,3,0,5,3,3,1,3,1,4,13,14,14
88,16,2,2,2,2,1,4,4,2,1,1,3,12,11,10,10
89,16,4,4,1,2,0,4,1,3,3,5,5,18,8,6,7
90,16,3,3,1,3,0,4,3,3,1,3,4,0,7,7,8
91,15,4,3,1,1,0,4,5,5,1,3,1,4,16,17,18
92,16,3,1,1,2,0,3,3,3,2,3,2,4,7,6,6
93,16,4,2,2,2,0,5,3,3,1,1,1,0,11,10,10
94,15,2,2,1,4,0,4,3,4,1,1,4,6,11,13,14
95,15,1,1,2,4,1,3,1,2,1,1,1,2,7,10,10
96,16,4,3,2,1,0,3,3,3,1,1,4,2,11,15,15
97,16,2,1,1,2,0,4,3,5,1,1,5,2,8,9,10
98,16,4,4,1,1,0,5,3,4,1,2,1,6,11,14,14
99,16,4,3,1,3,0,5,3,5,1,1,3,0,7,9,8
100,16,4,4,1,1,0,4,5,5,5,5,4,14,7,7,5
101,16,4,4,1,3,0,4,4,3,1,1,4,0,16,17,17
102,15,4,4,1,1,0,5,3,3,1,1,5,4,10,13,14
103,15,3,2,2,2,0,4,3,5,1,1,2,26,7,6,6
104,15,3,4,1,2,0,5,4,4,1,1,1,0,16,18,18
105,15,3,3,1,4,0,4,3,3,1,1,4,10,10,11,11
106,15,2,2,1,4,0,5,1,2,1,1,3,8,7,8,8
107,16,3,3,1,3,0,5,3,3,1,1,5,2,16,18,18
108,15,4,4,4,4,0,1,3,5,3,5,1,6,10,13,13
109,16,4,4,1,3,0,5,4,5,1,1,4,4,14,15,16
110,15,4,4,1,1,0,5,5,3,1,1,4,6,18,19,19
111,16,3,3,1,3,1,4,1,2,1,1,2,0,7,10,10
112,16,2,2,1,2,1,3,1,2,1,1,5,6,10,13,13
113,15,4,2,1,1,0,3,5,2,1,1,3,10,18,19,19
114,15,2,1,1,2,0,5,4,2,1,1,5,8,9,9,9
115,16,4,4,1,2,0,5,4,4,1,2,5,2,15,15,16
116,15,4,4,2,2,0,4,4,3,1,1,2,2,11,13,14
117,16,3,3,2,1,0,5,4,2,1,1,5,0,13,14,13
118,17,1,3,3,2,1,5,2,4,1,4,5,20,9,7,8
119,15,3,4,1,1,0,3,4,3,1,2,4,6,14,13,13
120,15,1,2,1,2,0,3,2,3,1,2,1,2,16,15,15
121,15,2,2,1,4,0,5,5,4,1,2,5,6,16,14,15
122,16,2,4,2,2,0,4,2,2,1,2,5,2,13,13,13
123,16,4,4,1,1,0,3,4,4,1,4,5,18,14,11,13
124,16,2,2,1,2,0,5,4,4,1,1,5,0,8,7,8
125,15,3,4,1,1,0,5,5,5,3,2,5,0,13,13,12
126,15,3,4,1,2,0,5,3,2,1,1,1,0,7,10,11
127,19,0,1,1,2,3,3,4,2,1,1,5,2,7,8,9
128,18,2,2,1,1,2,3,3,3,1,2,4,0,7,4,0
129,16,4,4,1,1,0,3,5,5,2,5,4,8,18,18,18
130,15,3,4,2,3,2,4,2,2,2,2,5,0,12,0,0
131,15,1,1,3,1,0,4,3,3,1,2,4,0,8,0,0
132,17,2,2,1,1,0,3,4,4,1,3,5,12,10,13,12
133,16,3,4,1,1,0,3,2,1,1,4,5,16,12,11,11
134,15,3,4,4,2,0,5,3,3,1,1,5,0,9,0,0
135,15,4,4,1,3,0,4,3,3,1,1,5,0,11,0,0
136,17,3,4,3,2,0,5,4,5,2,4,5,0,10,0,0
137,16,3,3,2,1,2,4,3,2,1,1,5,0,4,0,0
138,16,1,1,1,2,1,4,4,4,1,3,5,0,14,12,12
139,15,4,4,2,1,0,4,3,2,1,1,5,0,16,16,15
140,15,4,3,2,4,0,2,2,2,1,1,3,0,7,9,0
141,16,2,2,2,1,2,2,3,3,2,2,2,8,9,9,9
142,15,4,4,1,3,0,4,2,2,1,1,5,2,9,11,11
143,16,1,1,1,1,0,3,4,4,3,3,1,2,14,14,13
144,17,2,1,1,1,3,5,4,5,1,2,5,0,5,0,0
145,15,1,1,1,2,0,4,4,2,1,2,5,0,8,11,11
146,15,3,2,1,2,3,3,3,2,1,1,3,0,6,7,0
147,15,1,2,1,2,0,4,3,2,1,1,5,2,10,11,11
148,16,4,4,1,1,0,3,3,2,2,1,5,0,7,6,0
149,15,2,1,4,1,3,4,5,5,2,5,5,0,8,9,10
150,18,1,1,1,1,3,2,3,5,2,5,4,0,6,5,0
151,16,2,1,1,1,1,4,4,4,3,5,5,6,12,13,14
152,15,3,3,2,3,2,4,2,1,2,3,3,8,10,10,10
153,19,3,2,1,1,3,4,5,4,1,1,4,0,5,0,0
154,17,4,4,1,1,0,4,2,1,1,1,4,0,11,11,12
155,15,2,3,1,2,0,4,4,4,1,1,1,2,11,8,8
156,17,1,2,1,1,0,2,2,2,3,3,5,8,16,12,13
157,18,1,1,3,1,3,5,2,5,1,5,4,6,9,8,10
158,16,2,2,3,1,0,4,2,2,1,2,3,2,17,15,15
159,16,3,3,1,2,1,4,5,5,4,4,5,4,10,12,12
160,17,2,1,2,1,2,3,3,2,2,2,5,0,7,6,0
161,15,3,2,2,2,2,4,4,4,1,4,3,6,5,9,7
162,16,1,2,2,1,1,4,4,4,2,4,5,0,7,0,0
163,17,1,3,1,1,0,5,3,3,1,4,2,2,10,10,10
164,17,1,1,4,2,3,5,3,5,1,5,5,0,5,8,7
165,16,3,2,2,1,1,4,5,2,1,1,2,16,12,11,12
166,16,2,2,1,2,0,4,3,5,2,4,4,4,10,10,10
167,16,4,2,1,2,0,4,2,3,1,1,3,0,14,15,16
168,16,2,2,1,2,0,5,1,5,1,1,4,0,6,7,0
169,16,4,4,1,2,0,4,4,2,1,1,3,0,14,14,14
170,16,3,4,3,1,2,3,4,5,2,4,2,0,6,5,0
171,16,1,0,2,2,0,4,3,2,1,1,3,2,13,15,16
172,17,4,4,1,2,0,4,4,4,1,3,5,0,13,11,10
173,16,1,3,1,2,3,4,3,5,1,1,3,0,8,7,0
174,16,3,3,2,2,0,4,4,5,1,1,4,4,10,11,9
175,17,4,3,2,2,0,4,4,4,4,4,4,4,10,9,9
176,16,2,2,2,2,0,3,4,4,1,4,5,2,13,13,11
177,17,3,3,1,2,0,4,3,4,1,4,4,4,6,5,6
178,16,4,2,1,1,0,4,3,3,3,4,3,10,10,8,9
179,17,4,3,1,2,0,5,2,3,1,1,2,4,10,10,11
180,16,4,3,1,2,0,3,4,3,2,3,3,10,9,8,8
181,16,3,3,1,2,0,4,2,3,1,2,3,2,12,13,12
182,17,2,4,1,2,0,5,4,2,2,3,5,0,16,17,17
183,17,3,3,1,2,0,5,3,3,2,3,1,56,9,9,8
184,16,3,2,1,2,0,1,2,2,1,2,1,14,12,13,12
185,17,3,3,1,2,0,4,3,4,2,3,4,12,12,12,11
186,16,1,2,1,1,0,3,3,3,1,2,3,2,11,12,11
187,16,2,1,1,2,0,4,2,3,1,2,5,0,15,15,15
188,17,3,3,1,2,0,3,3,3,1,3,3,6,8,7,9
189,17,1,2,1,2,0,3,1,3,1,5,3,4,8,9,10
190,16,2,3,1,2,0,4,3,3,1,1,2,10,11,12,13
191,17,1,1,1,2,0,5,3,3,1,1,3,0,8,8,9
192,17,1,2,2,2,0,4,4,4,4,5,5,12,7,8,8
193,16,3,3,1,1,0,4,3,2,3,4,5,8,8,9,10
194,16,2,3,2,1,0,5,3,3,1,1,3,0,13,14,14
195,17,2,4,1,2,0,4,3,2,1,1,5,0,14,15,15
196,17,4,4,1,1,0,5,2,3,1,2,5,4,17,15,16
197,16,3,3,3,1,0,3,3,4,3,5,3,8,9,9,10
198,17,4,4,2,1,1,4,2,4,2,3,2,24,18,18,18
199,16,4,4,1,2,0,4,5,2,1,2,3,0,9,9,10
200,16,4,3,1,2,0,4,3,5,1,5,2,2,16,16,16
201,16,2,3,1,2,0,4,4,3,1,3,4,6,8,10,10
202,17,1,1,1,2,0,4,4,4,1,3,1,4,9,9,10
203,17,2,2,1,1,0,5,3,2,1,2,3,18,7,6,6
204,16,2,2,2,4,0,5,3,5,1,1,5,6,10,10,11
205,17,3,4,1,3,1,4,4,3,3,4,5,28,10,9,9
206,16,3,1,1,2,3,2,3,3,2,2,4,5,7,7,7
207,16,4,3,1,2,0,1,3,2,1,1,1,10,11,12,13
208,16,1,1,2,1,0,4,3,2,1,4,5,6,9,9,10
209,17,4,3,2,3,0,4,4,2,1,1,4,6,7,7,7
210,19,3,3,1,4,0,4,3,3,1,2,3,10,8,8,8
211,17,4,4,1,2,0,5,3,5,4,5,3,13,12,12,13
212,16,2,2,1,2,0,3,3,4,1,1,4,0,12,13,14
213,18,2,2,1,2,1,4,4,4,2,4,5,15,6,7,8
214,17,4,4,1,1,0,5,2,1,1,2,3,12,8,10,10
215,17,3,2,2,2,0,4,4,4,1,3,1,2,14,15,15
216,17,4,3,1,2,2,3,4,5,2,4,1,22,6,6,4
217,18,3,3,1,2,1,3,2,4,2,4,4,13,6,6,8
218,17,2,3,2,1,0,3,3,3,1,4,3,3,7,7,8
219,17,2,2,1,3,0,4,3,3,1,1,4,4,9,10,10
220,17,2,1,2,2,0,4,2,5,1,2,5,2,6,6,6
221,17,1,1,1,3,1,4,3,4,1,1,5,0,6,5,0
222,16,2,3,1,2,0,2,3,1,1,1,3,2,16,16,17
223,18,2,2,2,2,0,3,3,3,5,5,4,0,12,13,13
224,16,4,4,1,3,0,5,3,2,1,1,5,0,13,13,14
225,18,3,1,1,2,1,5,3,3,1,1,4,16,9,8,7
226,17,3,2,1,2,0,5,3,4,1,3,3,10,16,15,15
227,17,2,3,1,2,0,5,3,3,1,3,3,2,12,11,12
228,18,2,1,4,2,0,4,3,2,4,5,3,14,10,8,9
229,17,2,1,2,3,0,3,2,3,1,2,3,10,12,10,12
230,17,4,3,1,2,0,3,2,3,1,2,3,14,13,13,14
231,17,2,2,2,2,0,4,5,2,1,1,1,4,11,11,11
232,17,4,4,1,2,0,4,5,5,1,3,2,14,11,9,9
233,16,4,4,1,2,0,4,2,4,2,4,1,2,14,13,13
234,16,1,1,2,2,0,3,4,2,1,1,5,18,9,7,6
235,16,3,2,2,3,0,5,3,3,1,3,2,10,11,9,10
236,17,2,2,1,2,0,4,4,2,5,5,4,4,14,13,13
237,16,2,1,1,1,0,4,5,2,1,1,5,20,13,12,12
238,17,2,1,3,2,0,2,1,1,1,1,3,2,13,11,11
239,18,2,2,1,2,1,5,5,4,3,5,2,0,7,7,0
240,17,4,3,2,2,0,2,5,5,1,4,5,14,12,12,12
241,17,4,4,2,2,0,3,3,3,2,3,4,2,10,11,12
242,16,4,3,1,1,0,5,4,5,1,1,3,0,6,0,0
243,16,4,4,1,1,0,5,3,2,1,2,5,0,13,12,12
244,18,2,1,2,3,0,4,4,4,1,1,3,0,7,0,0
245,16,2,1,3,1,0,4,3,3,1,1,4,6,18,18,18
246,17,2,3,2,1,0,5,2,2,1,1,2,4,12,12,13
247,22,3,1,1,1,3,5,4,5,5,5,1,16,6,8,8
248,18,3,3,1,2,1,4,3,3,1,3,5,8,3,5,5
249,16,0,2,1,1,0,4,3,2,2,4,5,0,13,15,15
250,18,3,2,2,1,1,4,4,5,2,4,5,0,6,8,8
251,16,3,3,3,2,0,5,3,3,1,3,2,6,7,10,10
252,18,2,1,1,1,1,3,2,5,2,5,5,4,6,9,8
253,16,2,1,2,1,0,3,3,2,1,3,3,0,8,9,8
254,17,2,1,1,1,0,4,4,2,2,4,5,0,8,12,12
255,17,1,1,2,1,1,4,4,4,1,2,5,2,7,9,8
256,17,4,2,1,4,0,4,2,3,1,1,4,6,14,12,13
257,19,4,3,1,2,0,4,3,1,1,1,1,12,11,11,11
258,18,2,1,1,2,0,5,2,4,1,2,4,8,15,14,14
259,17,2,2,1,4,0,3,4,1,1,1,2,0,10,9,0
260,18,4,3,1,2,0,3,1,2,1,3,2,21,17,18,18
261,18,4,3,1,2,0,4,3,2,1,1,3,2,8,8,8
262,18,3,2,1,3,0,5,3,2,1,1,3,1,13,12,12
263,17,3,3,1,3,0,3,2,3,1,1,4,4,10,9,9
264,18,2,2,1,3,0,4,3,3,1,1,3,0,9,10,0
265,18,3,4,2,2,0,4,2,5,3,4,1,13,17,17,17
266,17,3,1,1,2,0,5,4,4,3,4,5,2,9,9,10
267,18,4,4,2,2,0,4,3,4,2,2,4,8,12,10,11
268,18,4,2,1,2,0,5,4,5,1,3,5,10,10,9,10
269,18,2,1,2,2,0,4,3,5,1,2,3,0,6,0,0
270,19,3,3,1,2,2,4,3,5,3,3,5,15,9,9,9
271,18,2,3,1,4,0,4,5,5,1,3,2,4,15,14,14
272,18,1,1,2,2,0,4,4,3,1,1,3,2,11,11,11
273,17,1,2,1,2,0,3,5,2,2,2,1,2,15,14,14
274,17,2,4,2,2,0,4,3,3,1,1,1,2,10,10,10
275,17,2,2,2,2,0,4,4,4,2,3,5,6,12,12,12
276,18,3,2,2,2,0,4,1,1,1,1,5,75,10,9,9
277,18,4,4,2,1,0,3,2,4,1,4,3,22,9,9,9
278,18,4,4,1,2,1,2,4,4,1,1,4,15,9,8,8
279,18,4,3,2,1,0,4,2,3,1,2,1,8,10,11,10
280,17,4,1,2,1,0,4,5,4,2,4,5,30,8,8,8
281,17,3,2,1,1,1,4,4,4,3,4,3,19,11,9,10
282,18,1,1,2,4,0,5,2,2,1,1,3,1,12,12,12
283,18,1,1,2,2,0,5,4,4,1,1,4,4,8,9,10
284,17,2,2,1,2,0,5,4,5,1,2,5,4,10,9,11
285,17,1,1,1,2,0,4,3,3,1,2,4,2,12,10,11
286,18,2,2,1,3,0,4,3,3,1,2,2,5,18,18,19
287,17,1,1,1,3,0,4,3,3,1,1,3,6,13,12,12
288,18,2,1,1,3,0,4,2,4,1,3,2,6,15,14,14
289,18,4,4,1,2,0,5,4,3,1,1,2,9,15,13,15
290,18,4,2,1,2,0,4,3,2,1,4,5,11,12,11,11
291,17,4,3,1,3,0,4,2,2,1,2,3,0,15,15,15
292,18,2,1,1,2,1,5,4,3,1,1,5,12,12,12,13
293,17,3,1,2,4,0,3,1,2,1,1,3,6,18,18,18
294,18,3,2,2,3,0,5,4,2,1,1,4,8,14,13,14
295,17,3,3,1,1,0,4,4,3,1,3,5,4,14,12,11
296,19,4,4,2,2,0,2,3,4,2,3,2,0,10,9,0
297,18,4,3,2,2,0,4,4,5,1,2,2,10,10,8,8
298,18,4,3,1,4,0,4,3,3,1,1,3,0,14,13,14
299,18,4,4,1,1,0,1,4,2,2,2,1,5,16,15,16
300,18,4,4,1,2,0,4,2,4,1,1,4,14,12,10,11
301,17,4,4,2,1,0,4,1,1,2,2,5,0,11,11,10
302,17,4,2,2,3,0,4,3,3,1,1,3,0,15,12,14
303,17,3,2,1,4,0,5,2,2,1,2,5,0,17,17,18
304,19,3,3,1,2,1,4,4,4,1,1,3,20,15,14,13
305,18,2,4,1,2,1,4,4,3,1,1,3,8,14,12,12
306,20,3,2,1,1,0,5,5,3,1,1,5,0,17,18,18
307,19,4,4,2,1,1,4,3,4,1,1,4,38,8,9,8
308,19,3,3,1,2,1,4,5,3,1,2,5,0,15,12,12
309,19,1,1,1,2,1,4,4,3,1,3,3,18,12,10,10
310,19,1,2,1,2,1,4,2,4,2,2,3,0,9,9,0
311,19,2,1,3,2,0,3,4,1,1,1,2,20,14,12,13
312,19,1,2,1,2,1,4,5,2,2,2,4,3,13,11,11
313,19,3,2,2,2,1,4,2,2,1,2,1,22,13,10,11
314,19,1,1,1,3,2,4,1,2,1,1,3,14,15,13,13
315,19,2,3,1,3,1,4,1,2,1,1,3,40,13,11,11
316,18,2,1,2,2,0,5,3,3,1,2,1,0,8,8,0
317,18,4,3,1,3,0,4,3,4,1,1,5,9,9,10,9
318,17,3,4,1,3,0,4,3,4,2,5,5,0,11,11,10
319,18,4,4,1,2,0,4,4,4,3,3,5,2,11,11,11
320,17,4,3,1,2,0,5,2,2,1,2,5,23,13,13,13
321,17,2,2,1,2,0,4,2,2,1,1,3,12,11,9,9
322,17,2,2,1,3,0,3,3,2,2,2,3,3,11,11,11
323,17,3,1,1,3,0,3,4,3,2,3,5,1,12,14,15
324,17,0,2,2,3,0,3,3,3,2,3,2,0,16,15,15
325,18,4,4,1,3,0,4,3,3,2,2,3,3,9,12,11
326,17,3,3,1,1,0,4,3,5,3,5,5,3,14,15,16
327,17,2,2,4,1,0,4,4,5,5,5,4,8,11,10,10
328,17,4,4,1,3,0,5,4,4,1,3,4,7,10,9,9
329,17,4,4,2,3,0,4,3,3,1,2,4,4,14,14,14
330,18,2,2,1,4,0,4,5,5,2,4,5,2,9,8,8
331,17,2,4,1,3,0,4,4,3,1,1,5,7,12,14,14
332,18,3,3,1,2,0,5,3,4,1,1,4,0,7,0,0
333,18,2,2,1,2,0,4,3,3,1,1,2,0,8,8,0
334,18,2,2,2,4,0,4,4,4,1,1,4,0,10,9,0
335,17,3,4,1,3,0,4,4,5,1,3,5,16,16,15,15
336,19,3,1,1,3,1,5,4,3,1,2,5,12,14,13,13
337,17,3,2,1,2,0,4,3,2,2,3,2,0,7,8,0
338,18,3,3,1,4,0,5,3,3,1,1,1,7,16,15,17
339,17,3,2,1,2,0,4,3,3,2,3,2,4,9,10,10
340,19,2,1,1,3,1,4,3,4,1,3,3,4,11,12,11
341,18,4,4,1,2,1,4,3,3,2,2,2,0,10,10,0
342,18,3,4,1,2,0,4,3,3,1,3,5,11,16,15,15
343,17,2,2,1,2,1,3,3,1,1,2,4,0,9,8,0
344,18,2,3,1,3,0,4,3,3,1,2,3,4,11,10,10
345,18,3,2,1,3,0,5,4,3,2,3,1,7,13,13,14
346,18,4,3,1,3,0,5,3,2,1,2,4,9,16,15,16
347,18,4,3,1,3,0,5,4,5,2,3,5,0,10,10,9
348,17,4,3,1,3,0,4,4,3,1,3,4,0,13,15,15
349,18,3,2,2,1,1,2,5,5,5,5,5,10,11,13,13
350,19,1,1,3,2,3,5,4,4,3,3,2,8,8,7,8
351,17,3,3,2,2,0,4,5,4,2,3,3,2,13,13,13
352,18,1,3,1,1,1,4,3,3,2,3,3,7,8,7,8
353,19,1,1,3,1,1,4,4,4,3,3,5,4,8,8,8
354,17,4,3,2,2,0,4,5,5,1,3,2,4,13,11,11
355,18,3,3,1,2,0,5,3,4,1,1,5,0,10,9,9
356,17,4,4,2,2,0,4,3,3,1,2,5,4,12,13,13
357,17,3,2,2,2,0,1,2,3,1,2,5,2,12,12,11
358,18,1,1,2,1,0,3,3,2,1,2,3,4,10,10,10
359,18,1,1,2,3,0,5,3,2,1,1,4,0,18,16,16
360,18,1,4,3,2,0,4,3,4,1,4,5,0,13,13,13
361,18,1,1,2,2,1,4,4,3,2,3,5,2,13,12,12
362,18,3,3,2,2,0,4,3,2,1,3,3,0,11,11,10
363,17,4,4,1,2,0,2,3,4,1,1,1,0,16,15,15
364,17,1,2,2,2,0,3,2,2,1,2,3,0,12,11,12
365,18,1,3,2,2,0,3,3,4,2,4,3,4,10,10,10
366,18,4,4,2,3,0,4,2,2,2,2,5,0,13,13,13
367,17,1,1,3,1,1,5,2,1,1,2,1,0,7,6,0
368,18,2,3,2,1,0,5,2,3,1,2,4,0,11,10,10
369,18,4,4,3,2,0,3,2,2,4,2,5,10,14,12,11
370,19,3,2,2,2,2,3,2,2,1,1,3,4,7,7,9
371,18,1,2,3,1,0,4,3,3,2,3,3,3,14,12,12
372,17,2,2,1,3,0,3,4,3,1,1,3,8,13,11,11
373,17,1,2,1,1,0,3,5,5,1,3,1,14,6,5,5
374,18,4,4,2,3,0,5,4,4,1,1,1,0,19,18,19
375,18,1,1,4,3,0,4,3,2,1,2,4,2,8,8,10
376,20,4,2,2,3,2,5,4,3,1,1,3,4,15,14,15
377,18,4,4,1,2,0,5,4,3,3,4,2,4,8,9,10
378,18,3,3,1,2,0,4,1,3,1,2,1,0,15,15,15
379,17,3,1,1,2,0,4,5,4,2,3,1,17,10,10,10
380,18,4,4,1,2,0,3,2,4,1,4,2,4,15,14,14
381,18,2,1,2,1,0,4,4,3,1,3,5,5,7,6,7
382,17,2,3,2,2,0,4,4,3,1,1,3,2,11,11,10
383,19,1,1,2,1,1,4,3,2,1,3,5,0,6,5,0
384,18,4,2,2,1,1,5,4,3,4,3,3,14,6,5,5
385,18,2,2,2,3,0,5,3,3,1,3,4,2,10,9,10
386,18,4,4,3,1,0,4,4,3,2,2,5,7,6,5,6
387,19,2,3,1,3,1,5,4,2,1,2,5,0,7,5,0
388,18,3,1,1,2,0,4,3,4,1,1,1,0,7,9,8
389,18,1,1,2,2,1,1,1,1,1,1,5,0,6,5,0
390,20,2,2,1,2,2,5,5,4,4,5,4,11,9,9,9
391,17,3,1,2,1,0,2,4,5,3,4,2,3,14,16,16
392,21,1,1,1,1,3,5,5,3,3,3,3,3,10,8,7
393,18,3,2,3,1,0,4,4,1,3,4,5,0,11,12,10
394,19,1,1,1,1,0,3,2,3,3,3,5,5,8,9,9
